vvweight,college,medicare_expand,repeal_aca,regulate_carbon,prefertrump
.99639712,0,1,0,1,0
1.1100645,1,0,0,1,0
.99911779,1,1,0,1,0
.73921266,1,1,0,1,0
.76533227,1,1,0,1,0
.82537519,0,0,1,1,1
1.405262,1,1,0,1,0
.71988242,1,1,0,1,0
.46337655,0,0,1,0,1
.81916221,1,1,0,1,0
1.7500298,1,0,1,0,1
.85215848,0,1,0,1,0
.91771136,1,1,0,1,0
.66356798,1,1,0,1,0
.90223487,1,1,0,1,0
.98003461,1,0,0,0,1
.87188371,1,1,0,1,0
.16299356,1,0,0,1,0
.24739599,1,0,1,0,1
.55821986,1,1,0,1,0
.8501277,0,1,0,1,0
.92652658,1,0,1,0,1
1.0542907,1,1,0,1,0
.79128166,1,0,1,0,1
1.2475856,1,0,1,0,1
1.5413493,1,1,1,0,1
.90311055,0,1,0,1,0
.90311055,1,0,0,0,0
1.1202675,1,0,0,1,1
.4142005,1,0,1,0,1
1.2247437,1,0,1,0,1
.76657702,0,1,1,0,1
1.1870602,1,1,0,1,0
.70757424,0,1,0,1,0
.75248168,0,1,0,1,0
.26563304,1,1,0,1,0
.26604946,1,1,0,1,0
.35697599,1,1,0,1,0
.80220056,1,0,1,0,1
.78063256,1,0,1,0,1
.70040239,1,0,1,0,0
.87825679,0,1,0,1,0
1.1156126,1,0,1,1,1
.65520728,1,1,0,1,0
.72807762,1,1,0,1,0
.26415076,1,0,1,0,1
1.5999792,0,0,1,1,1
1.6873692,0,0,1,1,1
.75765522,0,1,0,1,0
.52525892,0,1,0,1,0
1.5996753,0,0,1,0,1
.59812873,1,1,0,1,1
.76325707,1,0,1,0,1
1.498064,1,1,0,1,0
.41915798,0,0,1,0,1
.65901587,1,1,0,1,0
.71074248,1,1,0,1,0
1.34141,0,0,1,0,1
.62949262,1,0,1,1,1
.87558271,1,0,1,0,1
.31866862,1,1,0,1,0
.62865317,0,0,0,1,0
1.4776577,1,0,1,0,1
.28225728,0,1,0,0,0
1.226371,1,0,0,1,0
.8178612,1,1,0,1,0
.79801489,1,1,0,1,0
.64805066,1,1,0,1,0
.40932319,1,1,0,1,0
.77123868,0,1,0,1,0
.52585126,1,1,0,0,0
.89076674,1,0,1,1,1
1.3352152,1,0,1,0,1
1.0556529,1,0,1,0,1
.44143575,1,1,0,1,0
.48664355,1,1,0,1,0
.75375653,1,1,0,1,0
1.34141,1,0,1,1,1
1.8868451,1,1,1,1,1
.55999305,0,0,1,1,1
1.3388627,1,0,1,0,1
1.3706232,0,1,1,1,0
.99911779,1,1,0,1,0
1.381171,1,1,0,1,0
.40459327,1,1,0,1,0
1.1012781,1,1,0,1,0
.82030867,0,1,0,1,0
.55872808,1,1,0,1,0
.92029757,0,0,1,0,1
.60423219,0,1,0,1,0
.68213819,0,0,0,1,1
2.0733609,1,1,1,1,1
.50988004,1,1,0,1,0
1.0826493,1,0,1,0,1
1.0364098,1,1,0,1,0
.69634122,1,1,0,1,0
2.0540784,0,0,0,1,1
1.1031042,1,0,1,1,1
.78883777,1,1,0,1,0
.95923823,0,1,0,1,0
.59107898,1,0,0,1,0
.92082132,0,1,0,1,0
.36726426,1,1,0,1,0
1.0818303,1,1,0,1,0
.58877058,1,0,1,0,1
.75738528,1,1,0,1,0
.54809075,1,1,0,1,0
1.175792,1,1,0,1,0
1.5635019,0,0,1,1,1
.61821776,1,0,1,0,1
1.1729765,1,0,1,0,1
1.3706232,0,1,0,1,0
.55406535,1,1,0,1,0
.26150038,1,1,0,1,0
1.0173111,0,0,1,0,1
1.0280781,1,1,0,1,0
.21114021,1,0,1,0,1
1.586929,0,0,1,0,1
1.0238966,0,0,1,0,1
.70836378,1,1,0,1,0
1.3313829,1,0,1,0,1
2.5574146,1,1,0,1,0
.46943245,1,1,0,1,0
1.1668229,1,0,1,1,1
.39724092,1,1,0,1,0
.7551146,1,1,0,1,0
1.2799648,0,0,1,1,1
.27757169,1,1,0,1,0
.7462033,1,1,0,1,0
.70864905,1,1,0,0,0
1.3895312,1,0,1,0,1
.99702843,1,1,0,1,0
.96380844,1,0,1,0,1
.8847922,1,0,1,1,1
1.0881272,1,0,0,1,0
1.175792,1,1,0,1,0
1.2597246,0,0,1,1,1
4.4384091,1,0,1,0,1
.36941776,0,0,0,0,1
.89689095,1,1,0,1,0
1.0544873,1,0,0,1,0
1.498064,1,1,0,1,0
.36814201,1,1,0,1,0
1.34141,1,0,1,0,1
.64556034,1,1,0,1,0
.97083564,1,1,0,1,0
.61802122,1,0,0,1,0
.60133078,1,1,0,1,0
.42340058,1,1,0,1,0
.73914276,0,1,1,1,0
1.0667217,1,1,0,1,0
1.5616273,1,0,1,0,1
.70986887,1,1,0,0,0
.49684448,1,1,0,1,0
.4544451,0,1,0,1,0
.61441227,1,1,0,1,0
1.3097927,1,1,0,1,0
.83294686,1,1,0,1,0
.83958115,1,1,0,1,0
.60423219,0,0,0,1,0
.76951589,0,1,0,1,0
2.3810103,1,0,1,1,0
1.3352152,1,0,1,1,1
.70780968,0,0,1,0,0
1.1029058,1,0,0,1,0
1.1846418,0,0,1,0,1
1.2558657,0,0,1,1,1
